Array Size, Time
10000, 0.010952
10000, 0.007064
10000, 0.007137
10000, 0.007103
10000, 0.007123
10000, 0.007121
10000, 0.007141
10000, 0.007117
10000, 0.007103
10000, 0.007219
20000, 0.012311
20000, 0.012326
20000, 0.012301
20000, 0.012410
20000, 0.012297
20000, 0.012239
20000, 0.012285
20000, 0.012303
20000, 0.012346
20000, 0.012334
40000, 0.023329
40000, 0.026451
40000, 0.023237
40000, 0.023187
40000, 0.023219
40000, 0.023260
40000, 0.026455
40000, 0.023271
40000, 0.023561
40000, 0.023220
80000, 0.050767
80000, 0.049853
80000, 0.059911
80000, 0.056003
80000, 0.050136
80000, 0.048779
80000, 0.047914
80000, 0.047582
80000, 0.048307
80000, 0.048999
160000, 0.109511
160000, 0.116524
160000, 0.113799
160000, 0.113098
160000, 0.115286
160000, 0.120847
160000, 0.120368
160000, 0.119004
160000, 0.116508
160000, 0.115609
